Order ID,Ship Mode,Count of Shipping ID
AG-2014-2760,Standard Class,1
AG-2014-2830,Second Class,1
AG-2014-3130,Second Class,1
AG-2014-3510,First Class,1
AG-2014-3710,Second Class,1
AG-2014-4280,Standard Class,1
AG-2014-4290,Standard Class,1
AG-2014-4590,Same Day,1
AG-2014-4720,Standard Class,1
AG-2014-4840,Standard Class,1
AG-2014-4880,Second Class,1
AG-2014-5620,Standard Class,1
AG-2014-6170,Standard Class,1
AG-2014-6310,Standard Class,1
AG-2014-6470,First Class,1
AG-2014-6650,Standard Class,1
AG-2014-7430,Standard Class,1
AG-2014-7490,Standard Class,1
AG-2014-7770,Standard Class,1
AG-2014-8040,Second Class,1
AG-2014-8240,Standard Class,1
AG-2014-8390,Second Class,1
AG-2014-8600,Standard Class,1
AG-2014-8620,Standard Class,1
AG-2014-8710,Standard Class,1
AG-2014-8930,Second Class,1
AG-2014-9060,Standard Class,1
AG-2014-9240,First Class,1
AG-2014-9430,Standard Class,1
AJ-2011-4230,Standard Class,1
AJ-2011-4420,Same Day,1
AJ-2011-4460,Same Day,1
AJ-2011-7680,Standard Class,1
AJ-2012-7450,Standard Class,1
AJ-2012-7720,First Class,1
AJ-2013-1340,Second Class,1
AJ-2013-1760,Same Day,1
AJ-2013-180,Second Class,1
AJ-2013-2640,Standard Class,1
AJ-2013-3610,Second Class,1
AJ-2013-8630,Standard Class,1
AJ-2014-1760,Standard Class,1
AJ-2014-5740,Standard Class,1
AJ-2014-6170,Second Class,1
AJ-2014-6800,Standard Class,1
AJ-2014-8550,Standard Class,1
AJ-2014-9020,Standard Class,1
AJ-2014-9550,Second Class,1
AJ-2014-9620,Same Day,1
AL-2011-4500,Standard Class,1
AL-2011-7440,Second Class,1
AL-2011-9500,Second Class,1
AL-2012-8670,Standard Class,1
AL-2012-9220,Standard Class,1
AL-2012-9980,Standard Class,1
AL-2013-3830,First Class,1
AL-2013-7280,Same Day,1
AL-2013-7420,Standard Class,1
AL-2014-8450,Second Class,1
AM-2011-7110,Standard Class,1
AM-2013-2480,Standard Class,1
AO-2011-1390,Second Class,1
AO-2011-1670,Standard Class,1
AO-2011-1710,Standard Class,1
AO-2011-4780,Standard Class,1
AO-2011-4910,Standard Class,1
AO-2011-7110,Standard Class,1
AO-2011-8000,Standard Class,1
AO-2011-8260,Standard Class,1
AO-2011-8430,Same Day,1
AO-2011-9910,Standard Class,1
AO-2012-1000,Standard Class,1
AO-2012-1220,First Class,1
AO-2012-1230,Standard Class,1
AO-2012-2480,Standard Class,1
AO-2012-2650,Standard Class,1
AO-2012-2750,Standard Class,1
AO-2012-2810,Second Class,1
AO-2012-3210,Standard Class,1
AO-2012-5450,Same Day,1
AO-2012-6670,Standard Class,1
AO-2012-7800,First Class,1
AO-2012-7980,Standard Class,1
AO-2012-8920,Standard Class,1
AO-2013-1140,Standard Class,1
AO-2013-1470,Standard Class,1
AO-2013-1640,Second Class,1
AO-2013-2100,Standard Class,1
AO-2013-2180,Standard Class,1
AO-2013-2230,Standard Class,1
AO-2013-2380,Standard Class,1
AO-2013-3830,Standard Class,1
AO-2013-4310,Second Class,1
AO-2013-6050,Standard Class,1
AO-2013-6140,Second Class,1
AO-2013-6910,First Class,1
AO-2013-7170,Standard Class,1
AO-2013-7370,Standard Class,1
AO-2013-9250,Standard Class,1
AO-2014-1550,Second Class,1
AO-2014-190,Standard Class,1
AO-2014-2110,Second Class,1
AO-2014-2160,Standard Class,1
AO-2014-2270,Standard Class,1
AO-2014-2460,Standard Class,1
AO-2014-2730,Standard Class,1
AO-2014-4190,Standard Class,1
AO-2014-420,First Class,1
AO-2014-4830,Second Class,1
AO-2014-5290,Standard Class,1
AO-2014-5450,Standard Class,1
AO-2014-5560,Standard Class,1
AO-2014-620,Standard Class,1
AO-2014-650,Same Day,1
AO-2014-6780,Standard Class,1
AO-2014-6900,Standard Class,1
AO-2014-7730,Standard Class,1
AO-2014-7960,Second Class,1
AO-2014-8210,Standard Class,1
AO-2014-8250,Standard Class,1
AO-2014-9370,Second Class,1
AU-2011-0,Same Day,1
AU-2011-3990,Standard Class,1
AU-2011-4210,Second Class,1
AU-2011-5790,Second Class,1
AU-2011-790,Standard Class,1
AU-2011-9050,Standard Class,1
AU-2012-1790,Standard Class,1
AU-2012-4970,Standard Class,1
AU-2012-5610,First Class,1
AU-2012-6590,Second Class,1
AU-2012-7410,Standard Class,1
AU-2012-940,Standard Class,1
AU-2012-9900,First Class,1
AU-2013-2590,Same Day,1
AU-2013-3370,Standard Class,1
AU-2013-3750,Standard Class,1
AU-2013-6380,Standard Class,1
AU-2013-6980,Second Class,1
AU-2013-8150,First Class,1
AU-2013-9620,Standard Class,1
AU-2013-9920,Standard Class,1
AU-2014-1430,Second Class,1
AU-2014-1530,Standard Class,1
AU-2014-1900,Second Class,1
AU-2014-3670,Standard Class,1
AU-2014-6170,Second Class,1
AU-2014-6560,Standard Class,1
AU-2014-6650,Standard Class,1
AU-2014-7090,Standard Class,1
AU-2014-800,First Class,1
AU-2014-8900,Second Class,1
AU-2014-8970,Standard Class,1
AU-2014-9620,Standard Class,1
AU-2014-970,Standard Class,1
BA-2013-8930,Second Class,1
BK-2011-6660,Standard Class,1
BK-2012-7820,Standard Class,1
BK-2012-9590,Second Class,1
BK-2013-5970,Standard Class,1
BK-2014-2410,Same Day,1
BK-2014-2770,Standard Class,1
BK-2014-5210,Standard Class,1
BK-2014-7550,Standard Class,1
BN-2011-1530,Standard Class,1
BN-2011-2460,Standard Class,1
BN-2011-2620,Standard Class,1
BN-2011-4470,Standard Class,1
BN-2011-6760,First Class,1
BN-2012-3640,Standard Class,1
BN-2012-5720,First Class,1
BN-2012-6200,Standard Class,1
BN-2012-8190,Standard Class,1
BN-2013-2680,Standard Class,1
BN-2013-570,Second Class,1
BN-2013-6580,First Class,1
BN-2013-9270,Standard Class,1
BN-2013-9770,Second Class,1
BN-2014-1970,Standard Class,1
BN-2014-2740,Standard Class,1
BN-2014-4710,Second Class,1
BN-2014-4860,Standard Class,1
BN-2014-4920,Standard Class,1
BN-2014-5090,Second Class,1
BN-2014-8500,Standard Class,1
BN-2014-9200,Standard Class,1
BN-2014-9930,Same Day,1
BO-2011-470,Second Class,1
BO-2011-6900,Standard Class,1
BO-2011-7760,Second Class,1
BO-2011-9310,Standard Class,1
BO-2012-2360,Standard Class,1
BO-2012-4390,Standard Class,1
BO-2012-5160,First Class,1
BO-2012-5210,Standard Class,1
BO-2012-5950,Standard Class,1
BO-2012-6660,Standard Class,1
BO-2012-7210,Standard Class,1
BO-2012-7240,Standard Class,1
BO-2012-7320,Standard Class,1
BO-2012-8820,Same Day,1
BO-2013-1280,Standard Class,1
BO-2013-1400,Standard Class,1
BO-2013-2880,Standard Class,1
BO-2013-3500,Second Class,1
BO-2013-3590,Second Class,1
BO-2013-3910,Second Class,1
BO-2013-8060,Second Class,1
BO-2013-9400,Same Day,1
BO-2014-1160,Second Class,1
BO-2014-1510,Standard Class,1
BO-2014-170,Standard Class,1
BO-2014-1930,Standard Class,1
BO-2014-2490,Standard Class,1
BO-2014-2640,First Class,1
BO-2014-2670,Standard Class,1
BO-2014-4120,Second Class,1
BO-2014-5570,Standard Class,1
BO-2014-5730,Second Class,1
BO-2014-620,Standard Class,1
BO-2014-6700,Standard Class,1
BO-2014-8490,Same Day,1
BO-2014-8690,Second Class,1
BO-2014-8960,Second Class,1
BO-2014-9040,Second Class,1
BO-2014-9070,Standard Class,1
BO-2014-9240,Second Class,1
BO-2014-9490,First Class,1
BO-2014-9810,Standard Class,1
BU-2011-1220,Second Class,1
BU-2011-2880,Standard Class,1
BU-2011-5160,Standard Class,1
BU-2011-5830,Standard Class,1
BU-2011-7450,Second Class,1
BU-2012-1110,Same Day,1
BU-2012-1740,Standard Class,1
BU-2012-2320,Standard Class,1
BU-2012-360,Standard Class,1
BU-2012-4360,First Class,1
BU-2012-460,Standard Class,1
BU-2012-7140,Standard Class,1
BU-2012-7980,Second Class,1
BU-2012-8790,Second Class,1
BU-2012-8970,First Class,1
BU-2012-9500,Standard Class,1
BU-2012-9650,First Class,1
BU-2013-2680,Second Class,1
BU-2013-2690,Standard Class,1
BU-2013-2970,Standard Class,1
BU-2013-3730,First Class,1
BU-2013-3760,Second Class,1
BU-2013-4020,Standard Class,1
BU-2013-4720,First Class,1
BU-2013-5320,First Class,1
BU-2013-5690,Standard Class,1
BU-2013-6440,First Class,1
BU-2013-7380,Standard Class,1
BU-2013-9100,Standard Class,1
BU-2013-9480,First Class,1
BU-2013-9680,Standard Class,1
BU-2014-2740,Same Day,1
BU-2014-2850,Same Day,1
BU-2014-290,Standard Class,1
BU-2014-370,Second Class,1
BU-2014-7540,Standard Class,1
BU-2014-8530,First Class,1
BU-2014-880,Standard Class,1
BU-2014-9020,Second Class,1
BU-2014-9200,Standard Class,1
BU-2014-9730,Standard Class,1
BY-2011-3790,Standard Class,1
BY-2012-8590,Standard Class,1
CA-2011-100006,Standard Class,1
CA-2011-100090,Standard Class,1
CA-2011-100293,Standard Class,1
CA-2011-100328,Standard Class,1
CA-2011-100363,Standard Class,1
CA-2011-100391,Standard Class,1
CA-2011-100678,Standard Class,1
CA-2011-100706,Second Class,1
CA-2011-100762,Standard Class,1
CA-2011-100860,Second Class,1
CA-2011-100867,Standard Class,1
CA-2011-100881,Standard Class,1
CA-2011-100895,Standard Class,1
CA-2011-100916,Standard Class,1
CA-2011-100972,Second Class,1
CA-2011-101147,First Class,1
CA-2011-101175,Standard Class,1
CA-2011-101266,Second Class,1
CA-2011-101364,Standard Class,1
CA-2011-101392,Standard Class,1
CA-2011-101427,Standard Class,1
CA-2011-101462,Standard Class,1
CA-2011-101476,First Class,1
CA-2011-101560,Second Class,1
CA-2011-101602,First Class,1
CA-2011-101770,Standard Class,1
CA-2011-101833,Second Class,1
CA-2011-101931,First Class,1
CA-2011-102008,Standard Class,1
CA-2011-102085,Standard Class,1
CA-2011-102274,Standard Class,1
CA-2011-102295,Second Class,1
CA-2011-102330,Standard Class,1
CA-2011-102645,Standard Class,1
CA-2011-102652,Standard Class,1
CA-2011-102673,Standard Class,1
CA-2011-102869,Second Class,1
CA-2011-102988,Second Class,1
CA-2011-103058,First Class,1
CA-2011-103086,Second Class,1
CA-2011-103100,First Class,1
CA-2011-103191,Standard Class,1
CA-2011-103219,Standard Class,1
CA-2011-103310,Standard Class,1
CA-2011-103317,First Class,1
CA-2011-103331,Standard Class,1
CA-2011-103366,First Class,1
CA-2011-103373,Standard Class,1
CA-2011-103401,Standard Class,1
CA-2011-103429,First Class,1
CA-2011-103492,Standard Class,1
CA-2011-103527,Second Class,1
CA-2011-103590,Standard Class,1
CA-2011-103660,Standard Class,1
CA-2011-103702,Standard Class,1
CA-2011-103744,Standard Class,1
CA-2011-103800,Standard Class,1
CA-2011-103807,Standard Class,1
CA-2011-103849,Standard Class,1
CA-2011-103940,Standard Class,1
CA-2011-103989,First Class,1
CA-2011-104178,Standard Class,1
CA-2011-104269,Second Class,1
CA-2011-104283,Standard Class,1
CA-2011-104402,Standard Class,1
CA-2011-104472,Standard Class,1
CA-2011-104563,Standard Class,1
CA-2011-104738,Second Class,1
CA-2011-104773,Standard Class,1
CA-2011-104780,Standard Class,1
CA-2011-104808,Second Class,1
CA-2011-104829,Second Class,1
CA-2011-104976,Standard Class,1
CA-2011-105165,First Class,1
CA-2011-105172,Standard Class,1
CA-2011-105249,Same Day,1
CA-2011-105270,Standard Class,1
CA-2011-105340,First Class,1
CA-2011-105417,Standard Class,1
CA-2011-105648,Standard Class,1
CA-2011-105872,Standard Class,1
CA-2011-105893,Standard Class,1
CA-2011-105984,Same Day,1
CA-2011-106054,First Class,1
CA-2011-106229,Second Class,1
CA-2011-106264,Standard Class,1
CA-2011-106376,Standard Class,1
CA-2011-106439,Standard Class,1
CA-2011-106572,Standard Class,1
CA-2011-106719,Same Day,1
CA-2011-106726,First Class,1
CA-2011-106803,Standard Class,1
CA-2011-106810,Standard Class,1
CA-2011-106971,Standard Class,1
CA-2011-107139,Standard Class,1
CA-2011-107153,Standard Class,1
CA-2011-107181,Standard Class,1
CA-2011-107398,Standard Class,1
CA-2011-107454,Standard Class,1
CA-2011-107524,Standard Class,1
CA-2011-107573,Standard Class,1
CA-2011-107594,Standard Class,1
CA-2011-107706,Second Class,1
CA-2011-107755,Standard Class,1
CA-2011-107769,Standard Class,1
CA-2011-107811,Standard Class,1
CA-2011-107818,Standard Class,1
CA-2011-107916,First Class,1
CA-2011-108147,Standard Class,1
CA-2011-108182,Second Class,1
CA-2011-108189,First Class,1
CA-2011-108273,Standard Class,1
CA-2011-108609,Second Class,1
CA-2011-108707,Standard Class,1
CA-2011-108861,Standard Class,1
CA-2011-108903,Same Day,1
CA-2011-109043,First Class,1
CA-2011-109127,Standard Class,1
CA-2011-109134,Standard Class,1
CA-2011-109218,Second Class,1
CA-2011-109232,Second Class,1
CA-2011-109302,Standard Class,1
CA-2011-109491,Standard Class,1
CA-2011-109680,First Class,1
CA-2011-109855,Standard Class,1
CA-2011-109890,Standard Class,1
CA-2011-109897,Standard Class,1
CA-2011-109904,Second Class,1
CA-2011-109918,Second Class,1
CA-2011-109932,First Class,1
CA-2011-110030,Second Class,1
CA-2011-110065,Standard Class,1
CA-2011-110072,Standard Class,1
CA-2011-110100,Standard Class,1
CA-2011-110184,Standard Class,1
CA-2011-110219,First Class,1
CA-2011-110352,Standard Class,1
CA-2011-110408,Second Class,1
CA-2011-110422,Second Class,1
CA-2011-110527,Standard Class,1
CA-2011-110555,Standard Class,1
CA-2011-110611,Standard Class,1
CA-2011-110639,Same Day,1
CA-2011-110786,Standard Class,1
CA-2011-110849,Standard Class,1
CA-2011-111003,Standard Class,1
CA-2011-111059,Second Class,1
CA-2011-111150,Standard Class,1
CA-2011-111157,Standard Class,1
CA-2011-111192,Standard Class,1
CA-2011-111360,Standard Class,1
CA-2011-111451,First Class,1
CA-2011-111500,Standard Class,1
CA-2011-111773,Standard Class,1
CA-2011-111857,Second Class,1
CA-2011-111871,Second Class,1
CA-2011-111899,First Class,1
CA-2011-111934,First Class,1
CA-2011-111962,Standard Class,1
CA-2011-112158,First Class,1
CA-2011-112291,Standard Class,1
CA-2011-112326,Standard Class,1
CA-2011-112403,Same Day,1
CA-2011-112718,Standard Class,1
CA-2011-112837,Standard Class,1
CA-2011-112851,Standard Class,1
CA-2011-113047,Same Day,1
CA-2011-113166,First Class,1
CA-2011-113257,Second Class,1
CA-2011-113271,Standard Class,1
CA-2011-113320,Second Class,1
CA-2011-113362,Standard Class,1
CA-2011-113383,First Class,1
CA-2011-113579,Second Class,1
CA-2011-113768,Standard Class,1
CA-2011-113859,Standard Class,1
CA-2011-113880,Standard Class,1
CA-2011-113887,First Class,1
CA-2011-113929,Standard Class,1
CA-2011-113964,Standard Class,1
CA-2011-114125,Standard Class,1
CA-2011-114181,Second Class,1
CA-2011-114195,First Class,1
CA-2011-114251,Standard Class,1
CA-2011-114314,Standard Class,1
CA-2011-114321,Standard Class,1
CA-2011-114335,Standard Class,1
CA-2011-114433,Standard Class,1
CA-2011-114510,Standard Class,1
CA-2011-114517,Standard Class,1
CA-2011-114643,Standard Class,1
CA-2011-114790,Second Class,1
CA-2011-115049,Standard Class,1
CA-2011-115056,Same Day,1
CA-2011-115084,Standard Class,1
CA-2011-115133,Standard Class,1
CA-2011-115161,First Class,1
CA-2011-115259,Second Class,1
CA-2011-115336,Standard Class,1
CA-2011-115357,Second Class,1
CA-2011-115791,Second Class,1
CA-2011-115812,Standard Class,1
CA-2011-115889,Standard Class,1
CA-2011-115973,First Class,1
CA-2011-115980,Standard Class,1
CA-2011-116190,Standard Class,1
CA-2011-116239,Same Day,1
CA-2011-116246,Second Class,1
CA-2011-116407,Standard Class,1
CA-2011-116568,Standard Class,1
CA-2011-116666,First Class,1
CA-2011-116673,Second Class,1
CA-2011-116757,Standard Class,1
CA-2011-116785,Standard Class,1
CA-2011-116834,Standard Class,1
CA-2011-116904,Standard Class,1
CA-2011-116932,Standard Class,1
CA-2011-117016,Standard Class,1
CA-2011-117317,Same Day,1
CA-2011-117345,Standard Class,1
CA-2011-117429,Standard Class,1
CA-2011-117464,Second Class,1
CA-2011-117478,First Class,1
CA-2011-117639,Standard Class,1
CA-2011-117709,Standard Class,1
CA-2011-117765,Standard Class,1
CA-2011-118192,Standard Class,1
CA-2011-118276,Standard Class,1
CA-2011-118304,Standard Class,1
CA-2011-118339,Standard Class,1
CA-2011-118962,Standard Class,1
CA-2011-118976,Standard Class,1
CA-2011-119032,Standard Class,1
CA-2011-119144,First Class,1
CA-2011-119151,Second Class,1
CA-2011-119172,Standard Class,1
CA-2011-119375,Standard Class,1
CA-2011-119466,Standard Class,1
CA-2011-119529,Second Class,1
CA-2011-119977,Second Class,1
CA-2011-120096,First Class,1
CA-2011-120243,Second Class,1
CA-2011-120278,Standard Class,1
CA-2011-120411,First Class,1
CA-2011-120432,Second Class,1
CA-2011-120474,First Class,1
CA-2011-120544,Standard Class,1
CA-2011-120670,Standard Class,1
CA-2011-120768,Second Class,1
CA-2011-120775,Standard Class,1
CA-2011-120838,Second Class,1
CA-2011-120852,Standard Class,1
CA-2011-120887,Standard Class,1
CA-2011-120950,Standard Class,1
CA-2011-121006,Standard Class,1
CA-2011-121167,Second Class,1
CA-2011-121286,Second Class,1
CA-2011-121573,Standard Class,1
CA-2011-121629,Standard Class,1
CA-2011-121664,Standard Class,1
CA-2011-121727,Standard Class,1
CA-2011-121762,Standard Class,1
CA-2011-121769,Standard Class,1
CA-2011-122070,Second Class,1
CA-2011-122217,Standard Class,1
CA-2011-122336,Second Class,1
CA-2011-122567,Standard Class,1
CA-2011-122588,Second Class,1
CA-2011-122609,Standard Class,1
CA-2011-122679,Standard Class,1
CA-2011-122749,Standard Class,1
CA-2011-122882,Standard Class,1
CA-2011-122931,Standard Class,1
CA-2011-123064,First Class,1
CA-2011-123127,Standard Class,1
CA-2011-123225,First Class,1
CA-2011-123253,Second Class,1
CA-2011-123260,Standard Class,1
CA-2011-123295,Same Day,1
CA-2011-123316,Standard Class,1
CA-2011-123323,Standard Class,1
CA-2011-123344,Standard Class,1
CA-2011-123400,Standard Class,1
CA-2011-123477,Second Class,1
CA-2011-123498,First Class,1
CA-2011-123855,Standard Class,1
CA-2011-123925,Second Class,1
CA-2011-124023,First Class,1
CA-2011-124079,Standard Class,1
CA-2011-124247,Standard Class,1
CA-2011-124394,Second Class,1
CA-2011-124429,Same Day,1
CA-2011-124464,Standard Class,1
CA-2011-124478,Standard Class,1
CA-2011-124513,Standard Class,1
CA-2011-124618,Second Class,1
CA-2011-124646,First Class,1
CA-2011-124688,First Class,1
CA-2011-124702,Standard Class,1
CA-2011-124709,Second Class,1
CA-2011-124723,Standard Class,1
CA-2011-124730,Same Day,1
CA-2011-124737,Standard Class,1
CA-2011-124807,Second Class,1
CA-2011-124856,Second Class,1
CA-2011-125136,Standard Class,1
CA-2011-125150,Standard Class,1
CA-2011-125171,Same Day,1
CA-2011-125514,First Class,1
CA-2011-125542,First Class,1
CA-2011-125556,Second Class,1
CA-2011-125612,Standard Class,1
CA-2011-125682,First Class,1
CA-2011-125731,Standard Class,1
CA-2011-125759,First Class,1
CA-2011-125829,Standard Class,1
CA-2011-125997,First Class,1
CA-2011-126032,Standard Class,1
CA-2011-126193,Standard Class,1
CA-2011-126200,Standard Class,1
CA-2011-126277,Second Class,1
CA-2011-126333,Standard Class,1
CA-2011-126361,Second Class,1
CA-2011-126403,Second Class,1
CA-2011-126480,Standard Class,1
CA-2011-126522,Second Class,1
CA-2011-126683,Second Class,1
CA-2011-126760,Standard Class,1
CA-2011-126802,Standard Class,1
CA-2011-126907,Standard Class,1
CA-2011-126963,Same Day,1
CA-2011-127012,Standard Class,1
CA-2011-127131,Standard Class,1
CA-2011-127159,First Class,1
CA-2011-127166,Second Class,1
CA-2011-127187,Standard Class,1
CA-2011-127299,Standard Class,1
CA-2011-127383,Standard Class,1
CA-2011-127446,Standard Class,1
CA-2011-127488,Second Class,1
CA-2011-127523,Standard Class,1
CA-2011-127558,First Class,1
CA-2011-127586,Standard Class,1
CA-2011-127614,Standard Class,1
CA-2011-127691,Standard Class,1
CA-2011-127859,Second Class,1
CA-2011-127866,First Class,1
CA-2011-127936,First Class,1
CA-2011-127964,Standard Class,1
CA-2011-128055,Standard Class,1
CA-2011-128062,Second Class,1
CA-2011-128146,Standard Class,1
CA-2011-128209,Standard Class,1
CA-2011-128237,Standard Class,1
CA-2011-128524,First Class,1
CA-2011-128538,Standard Class,1
CA-2011-128622,Second Class,1
CA-2011-128839,Standard Class,1
CA-2011-128846,Standard Class,1
CA-2011-128888,Standard Class,1
CA-2011-128986,Second Class,1
CA-2011-129091,Standard Class,1
CA-2011-129147,Standard Class,1
CA-2011-129168,Standard Class,1
CA-2011-129189,Standard Class,1
CA-2011-129364,Standard Class,1
CA-2011-129574,First Class,1
CA-2011-129819,Second Class,1
CA-2011-129924,Standard Class,1
CA-2011-129938,Second Class,1
CA-2011-130092,First Class,1
CA-2011-130155,First Class,1
CA-2011-130274,First Class,1
CA-2011-130421,Standard Class,1
CA-2011-130428,Same Day,1
CA-2011-130449,First Class,1
CA-2011-130575,First Class,1
CA-2011-130624,First Class,1
CA-2011-130673,Second Class,1
CA-2011-130729,Standard Class,1
CA-2011-130813,Second Class,1
CA-2011-130869,Standard Class,1
CA-2011-130918,Second Class,1
CA-2011-130960,Standard Class,1
CA-2011-131002,Second Class,1
CA-2011-131009,Standard Class,1
CA-2011-131051,Standard Class,1
CA-2011-131247,Standard Class,1
CA-2011-131310,Standard Class,1
CA-2011-131387,First Class,1
CA-2011-131450,Standard Class,1
CA-2011-131527,Standard Class,1
CA-2011-131541,Same Day,1
CA-2011-131800,Standard Class,1
CA-2011-131905,First Class,1
CA-2011-131926,Second Class,1
CA-2011-131947,Standard Class,1
CA-2011-132010,First Class,1
CA-2011-132227,Standard Class,1
CA-2011-132451,First Class,1
CA-2011-132500,Standard Class,1
CA-2011-132542,Second Class,1
CA-2011-132612,Second Class,1
CA-2011-132787,Standard Class,1
CA-2011-132801,Standard Class,1
CA-2011-132864,Standard Class,1
CA-2011-132913,First Class,1
CA-2011-132962,First Class,1
CA-2011-132983,Standard Class,1
CA-2011-133158,Second Class,1
CA-2011-133228,Standard Class,1
CA-2011-133270,First Class,1
CA-2011-133305,Standard Class,1
CA-2011-133354,First Class,1
CA-2011-133389,Same Day,1
CA-2011-133424,Standard Class,1
CA-2011-133543,Standard Class,1
CA-2011-133592,Standard Class,1
CA-2011-133634,Standard Class,1
CA-2011-133690,First Class,1
CA-2011-133704,Standard Class,1
CA-2011-133753,Second Class,1
CA-2011-133809,Second Class,1
CA-2011-133830,Standard Class,1
CA-2011-133851,Standard Class,1
CA-2011-133963,Second Class,1
CA-2011-134061,Standard Class,1
CA-2011-134103,Standard Class,1
CA-2011-134215,Standard Class,1
CA-2011-134278,First Class,1
CA-2011-134313,Standard Class,1
CA-2011-134551,Standard Class,1
CA-2011-134572,Second Class,1
CA-2011-134621,Standard Class,1
CA-2011-134677,Standard Class,1
CA-2011-134726,Second Class,1
CA-2011-135090,Standard Class,1
CA-2011-135405,Standard Class,1
CA-2011-135608,Second Class,1
CA-2011-135657,Second Class,1
CA-2011-135699,Same Day,1
CA-2011-135755,Standard Class,1
CA-2011-135993,Standard Class,1
CA-2011-136280,Standard Class,1
CA-2011-136336,Standard Class,1
CA-2011-136399,First Class,1
CA-2011-136567,First Class,1
CA-2011-136644,Standard Class,1
CA-2011-136742,Standard Class,1
CA-2011-136861,First Class,1
CA-2011-137092,Second Class,1
CA-2011-137274,Standard Class,1
CA-2011-137351,Standard Class,1
CA-2011-137575,Standard Class,1
CA-2011-137589,Standard Class,1
CA-2011-137911,Standard Class,1
CA-2011-138023,First Class,1
CA-2011-138072,Standard Class,1
CA-2011-138100,Standard Class,1
CA-2011-138128,Standard Class,1
CA-2011-138177,Standard Class,1
CA-2011-138198,Standard Class,1
CA-2011-138240,Standard Class,1
CA-2011-138296,Standard Class,1
CA-2011-138317,Standard Class,1
CA-2011-138359,Standard Class,1
CA-2011-138436,Standard Class,1
CA-2011-138450,Standard Class,1
CA-2011-138513,Standard Class,1
CA-2011-138527,Standard Class,1
CA-2011-138681,First Class,1
CA-2011-138709,Standard Class,1
CA-2011-138737,First Class,1
CA-2011-138940,Second Class,1
CA-2011-1390,Same Day,1
CA-2011-139017,Standard Class,1
CA-2011-139192,Second Class,1
CA-2011-139283,Standard Class,1
CA-2011-139423,Standard Class,1
CA-2011-139451,Standard Class,1
CA-2011-139542,Standard Class,1
CA-2011-139598,Standard Class,1
CA-2011-139633,Standard Class,1
CA-2011-139857,Standard Class,1
CA-2011-139892,Standard Class,1
CA-2011-140004,Standard Class,1
CA-2011-140032,Standard Class,1
CA-2011-140039,Standard Class,1
CA-2011-140165,First Class,1
CA-2011-140228,Standard Class,1
CA-2011-140396,Standard Class,1
CA-2011-140403,Same Day,1
CA-2011-140473,Standard Class,1
CA-2011-140487,Standard Class,1
CA-2011-140662,First Class,1
CA-2011-140732,Second Class,1
CA-2011-140795,First Class,1
CA-2011-140816,Same Day,1
CA-2011-140858,Standard Class,1
CA-2011-140886,Standard Class,1
CA-2011-141005,First Class,1
CA-2011-141110,Standard Class,1
CA-2011-141152,First Class,1
CA-2011-141173,Second Class,1
CA-2011-141278,First Class,1
CA-2011-141299,Second Class,1
